City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,puerto deseado,-47.7503,-65.8938,12.46,66,36,4.14,AR,2024-01-01
79,vershino-darasunskiy,52.35,115.5167,-13.43,76,31,1.32,RU,2024-01-01
80,ribeira grande,38.5167,-28.7,17.65,92,100,8.05,PT,2024-01-01
81,constantia,44.1833,28.65,6.5,84,43,4.67,RO,2024-01-01
82,hamilton,39.1834,-84.5333,0.43,81,39,4.47,US,2024-01-01
83,lamarque,-39.423,-65.7021,22.16,62,100,5.25,AR,2024-01-01
84,lompoc,34.6391,-120.4579,12.0,89,0,1.54,US,2024-01-01
85,nuku'alofa,-21.1333,-175.2,25.78,75,34,9.01,TO,2024-01-01
86,kashgar,39.4547,75.9797,-3.44,54,2,2.0,CN,2024-01-01
87,cidreira,-30.1811,-50.2056,18.71,78,54,2.94,BR,2024-01-01
88,olonkinbyen,70.9221,-8.7187,-4.81,61,100,4.25,SJ,2024-01-01
89,narvik,68.4384,17.4272,-9.86,71,41,3.63,NO,2024-01-01
90,atbara,17.7022,33.9864,18.03,47,0,4.46,SD,2024-01-01
91,san antonio de pale,-1.4014,5.6325,26.88,81,27,3.01,GQ,2024-01-01
92,waitangi,-43.9535,-176.5597,14.34,73,94,3.13,NZ,2024-01-01
93,bemidji,47.4736,-94.8803,-7.19,99,100,1.54,US,2024-01-01
94,kapit,2.0167,112.9333,29.71,81,90,1.15,MY,2024-01-01
95,keflavik,64.0049,-22.5624,-0.76,74,0,6.17,IS,2024-01-01
96,inhambane,-23.865,35.3833,25.99,89,20,2.57,MZ,2024-01-01
97,sakaiminato,35.55,133.2333,9.99,57,75,5.14,JP,2024-01-01
98,san juan tepa,20.2167,-99.0667,10.72,79,23,1.07,MX,2024-01-01
99,la gi,10.6667,107.7833,30.41,56,100,3.56,VN,2024-01-01
100,severo-yeniseyskiy,60.3725,93.0408,-15.42,93,100,4.34,RU,2024-01-01
101,lambayeque,-6.7011,-79.9061,22.06,83,0,6.69,PE,2024-01-01
102,hacienda huancane,-15.8222,-70.8856,4.43,75,95,1.85,PE,2024-01-01
103,fortuna,40.5982,-124.1573,10.52,96,100,1.79,US,2024-01-01
104,badger,64.8,-147.5333,-17.67,96,100,1.02,US,2024-01-01
